dataset,k,seed_id,algorithm,method,repeat,batch_iterations,wall_time_s,cpu_time_s,cpu_wall_ratio,affinity_cpu,nodes,edges
digits_n400,5,3,dijkstra,D,1,1,0.027173358,0.027178028,1.0001718595103335,0,400,1435
digits_n400,5,3,floyd_warshall,FW,1,1,0.055559691,0.05555091,0.9998419537646457,0,400,1435
digits_n400,5,3,johnson,J,1,1,0.033367411,0.033361029,0.9998087355354002,0,400,1435
digits_n400,5,3,dijkstra,D,2,1,0.026152241,0.026155555,1.0001267195419314,0,400,1435
digits_n400,5,3,floyd_warshall,FW,2,1,0.056180672,0.056180736,1.0000011391818169,0,400,1435
digits_n400,5,3,johnson,J,2,1,0.03335872,0.033360499,1.000053329384341,0,400,1435
digits_n400,5,3,johnson,J,3,1,0.031995841,0.031997939,1.000065571022184,0,400,1435
digits_n400,5,3,floyd_warshall,FW,3,1,0.055488612,0.055488775,1.0000029375396884,0,400,1435
digits_n400,5,3,dijkstra,D,3,1,0.02685372,0.026856956,1.000120504719644,0,400,1435
digits_n400,5,3,dijkstra,D,4,1,0.026301406,0.026303525,1.000080566035139,0,400,1435
digits_n400,5,3,floyd_warshall,FW,4,1,0.056645052,0.05664555,1.0000087915887164,0,400,1435
digits_n400,5,3,johnson,J,4,1,0.032264367,0.032266689,1.00007196793912,0,400,1435
digits_n400,5,3,floyd_warshall,FW,5,1,0.053714136,0.053714225,1.0000016569195118,0,400,1435
digits_n400,5,3,dijkstra,D,5,1,0.025812442,0.025815064,1.000101578920739,0,400,1435
digits_n400,5,3,johnson,J,5,1,0.033053299,0.033055452,1.000065137219737,0,400,1435
digits_n400,5,3,floyd_warshall,FW,6,1,0.052692187,0.052692495,1.0000058452688632,0,400,1435
digits_n400,5,3,johnson,J,6,1,0.03280858,0.032811053,1.0000753766240418,0,400,1435
digits_n400,5,3,dijkstra,D,6,1,0.027103157,0.02710758,1.0001631913212177,0,400,1435
