dataset,k,seed_id,algorithm,method,repeat,batch_iterations,wall_time_s,cpu_time_s,cpu_wall_ratio,affinity_cpu,nodes,edges
digits_n750,5,3,floyd_warshall,FW,1,1,0.34752892,0.347495522,0.999903898645327,0,750,2682
digits_n750,5,3,johnson,J,1,1,0.103270058,0.103267257,0.9999728769398,0,750,2682
digits_n750,5,3,dijkstra,D,1,1,0.096210058,0.096160216,0.9994819460559935,0,750,2682
digits_n750,5,3,dijkstra,D,2,1,0.091514106,0.091511556,0.9999721354432506,0,750,2682
digits_n750,5,3,floyd_warshall,FW,2,1,0.346372047,0.346259026,0.9996737005743422,0,750,2682
digits_n750,5,3,johnson,J,2,1,0.10814383,0.108132641,0.9998965359373716,0,750,2682
digits_n750,5,3,johnson,J,3,1,0.103045691,0.10303504,0.9998966380845561,0,750,2682
digits_n750,5,3,dijkstra,D,3,1,0.093557902,0.093555329,0.9999724983144663,0,750,2682
digits_n750,5,3,floyd_warshall,FW,3,1,0.34293166,0.34290492,0.9999220252804888,0,750,2682
digits_n750,5,3,johnson,J,4,1,0.108265392,0.108264428,0.9999910959542824,0,750,2682
digits_n750,5,3,dijkstra,D,4,1,0.09936025,0.099344564,0.9998421300268467,0,750,2682
digits_n750,5,3,floyd_warshall,FW,4,1,0.346530492,0.346451484,0.9997720027477407,0,750,2682
digits_n750,5,3,dijkstra,D,5,1,0.095887799,0.095885432,0.9999753148990312,0,750,2682
digits_n750,5,3,floyd_warshall,FW,5,1,0.35102384,0.350368559,0.9981332293555903,0,750,2682
digits_n750,5,3,johnson,J,5,1,0.110495479,0.110466051,0.9997336723613823,0,750,2682
digits_n750,5,3,dijkstra,D,6,1,0.094856763,0.094854002,0.9999708929557296,0,750,2682
digits_n750,5,3,floyd_warshall,FW,6,1,0.344338398,0.344299156,0.9998860365261966,0,750,2682
digits_n750,5,3,johnson,J,6,1,0.108608287,0.108598931,0.9999138555605798,0,750,2682
