dataset,k,seed_id,algorithm,method,repeat,batch_iterations,wall_time_s,cpu_time_s,cpu_wall_ratio,affinity_cpu,nodes,edges
digits_n500,20,2,dijkstra,D,1,1,0.075682308,0.075682157,0.9999980048177177,0,500,6791
digits_n500,20,2,floyd_warshall,FW,1,1,0.153552077,0.153543969,0.9999471970672204,0,500,6791
digits_n500,20,2,johnson,J,1,1,0.105192731,0.105182523,0.9999029590742349,0,500,6791
digits_n500,20,2,dijkstra,D,2,1,0.086707799,0.086705814,0.999977107018943,0,500,6791
digits_n500,20,2,floyd_warshall,FW,2,1,0.175903994,0.175886044,0.99989795569963,0,500,6791
digits_n500,20,2,johnson,J,2,1,0.116089179,0.11607538,0.9998811344854115,0,500,6791
digits_n500,20,2,johnson,J,3,1,0.10735623,0.107329603,0.9997519752696233,0,500,6791
digits_n500,20,2,dijkstra,D,3,1,0.075682292,0.075682438,1.0000019291170517,0,500,6791
digits_n500,20,2,floyd_warshall,FW,3,1,0.154575225,0.154555174,0.9998702832229419,0,500,6791
digits_n500,20,2,dijkstra,D,4,1,0.080409394,0.080407232,0.9999731125942822,0,500,6791
digits_n500,20,2,floyd_warshall,FW,4,1,0.170229181,0.170219292,0.9999419077273243,0,500,6791
digits_n500,20,2,johnson,J,4,1,0.111605518,0.111603764,0.9999842839311941,0,500,6791
digits_n500,20,2,johnson,J,5,1,0.109185047,0.109181491,0.99996743143775,0,500,6791
digits_n500,20,2,floyd_warshall,FW,5,1,0.249372366,0.249316442,0.9997757409896812,0,500,6791
digits_n500,20,2,dijkstra,D,5,1,0.135642106,0.135626696,0.9998863922092155,0,500,6791
digits_n500,20,2,dijkstra,D,6,1,0.137554997,0.13755,0.9999636727119408,0,500,6791
digits_n500,20,2,floyd_warshall,FW,6,1,0.232620406,0.232606325,0.9999394679072137,0,500,6791
digits_n500,20,2,johnson,J,6,1,0.115666054,0.115654312,0.9998984836121407,0,500,6791
