dataset,k,seed_id,algorithm,method,repeat,batch_iterations,wall_time_s,cpu_time_s,cpu_wall_ratio,affinity_cpu,nodes,edges
digits_n1000,10,2,dijkstra,D,1,1,0.208948775,0.208925876,0.9998904085463052,0,1000,6974
digits_n1000,10,2,floyd_warshall,FW,1,1,1.02618289,1.026005441,0.9998270785824541,0,1000,6974
digits_n1000,10,2,johnson,J,1,1,0.260746627,0.260720564,0.9999000447280952,0,1000,6974
digits_n1000,10,2,johnson,J,2,1,0.264358878,0.264341221,0.9999332082200773,0,1000,6974
digits_n1000,10,2,floyd_warshall,FW,2,1,1.034736103,1.034621074,0.9998888325248665,0,1000,6974
digits_n1000,10,2,dijkstra,D,2,1,0.221253945,0.221240041,0.9999371581826484,0,1000,6974
digits_n1000,10,2,floyd_warshall,FW,3,1,1.039997764,1.039830842,0.9998394977318432,0,1000,6974
digits_n1000,10,2,dijkstra,D,3,1,0.227051075,0.227037911,0.9999420218556553,0,1000,6974
digits_n1000,10,2,johnson,J,3,1,0.262074415,0.262039664,0.9998674002572895,0,1000,6974
digits_n1000,10,2,johnson,J,4,1,0.261473058,0.261447032,0.9999004639323109,0,1000,6974
digits_n1000,10,2,floyd_warshall,FW,4,1,1.032628818,1.032463575,0.9998399783183273,0,1000,6974
digits_n1000,10,2,dijkstra,D,4,1,0.243899865,0.243873651,0.9998925214657253,0,1000,6974
digits_n1000,10,2,johnson,J,5,1,0.298483425,0.298447166,0.9998785225678778,0,1000,6974
digits_n1000,10,2,floyd_warshall,FW,5,1,1.194605857,1.19445394,0.9998728308595595,0,1000,6974
digits_n1000,10,2,dijkstra,D,5,1,0.249856072,0.249839225,0.9999325731815715,0,1000,6974
digits_n1000,10,2,dijkstra,D,6,1,0.24504464,0.244914284,0.9994680316206875,0,1000,6974
digits_n1000,10,2,johnson,J,6,1,0.304018349,0.303979451,0.9998720537752804,0,1000,6974
digits_n1000,10,2,floyd_warshall,FW,6,1,1.158899694,1.158708745,0.9998352325046002,0,1000,6974
