dataset,nodes,k,seed_id,algorithm,seed_median_s,seed_iqr_s,n_repeats
digits_n1000,1000,10,3,floyd_warshall,1.0367310475,0.013830075500000039,6
digits_n1000,1000,10,3,johnson,0.274397612,0.0025545042500000337,6
digits_n1000,1000,10,4,dijkstra,0.2313770645,0.009017182500000026,6
digits_n1000,1000,10,4,floyd_warshall,1.0679350625000001,0.014966327000000001,6
digits_n1000,1000,10,4,johnson,0.275415607,0.023063633000000028,6
digits_n1000,1000,20,0,dijkstra,0.3302046525,0.0037902564999999777,6
digits_n1000,1000,20,0,floyd_warshall,1.18885891,0.05350953125000002,6
digits_n1000,1000,20,0,johnson,0.40494112449999997,0.011931934999999949,6
digits_n1000,1000,20,1,dijkstra,0.337320999,0.006014775000000028,6
digits_n1000,1000,20,1,floyd_warshall,1.21084571,0.010968792749999956,6
digits_n1000,1000,20,1,johnson,0.4054204885,0.007840438749999956,6
digits_n1000,1000,20,2,dijkstra,0.328048747,0.012106736999999979,6
digits_n1000,1000,20,2,floyd_warshall,1.235649672,0.011920223749999792,6
digits_n1000,1000,20,2,johnson,0.40580146650000004,0.004615585749999984,6
digits_n1000,1000,20,3,dijkstra,0.339281183,0.005705364249999956,6
digits_n1000,1000,20,3,floyd_warshall,1.2047404695,0.004409268249999876,6
digits_n1000,1000,20,3,johnson,0.407454457,0.0010543102500000234,6
digits_n1000,1000,20,4,dijkstra,0.3266756595,0.010407992249999998,6
digits_n1000,1000,20,4,floyd_warshall,1.214179125,0.011950399249999855,6
digits_n1000,1000,20,4,johnson,0.403914765,0.0051427780000000145,6
digits_n1250,1250,5,0,dijkstra,0.2693930075,0.0056536382499999815,6
digits_n1250,1250,5,0,floyd_warshall,1.7300070375,0.036062731250000146,6
digits_n1250,1250,5,0,johnson,0.3274123545,0.01415772274999999,6
digits_n1250,1250,5,1,dijkstra,0.266773151,0.005251648500000039,6
digits_n1250,1250,5,1,floyd_warshall,1.410219715,0.13694666900000008,6
digits_n1250,1250,5,1,johnson,0.296474762,0.01951531424999997,6
digits_n1250,1250,5,2,dijkstra,0.261739901,0.015043194500000023,6
digits_n1250,1250,5,2,floyd_warshall,1.4788939,0.014966454750000358,6
digits_n1250,1250,5,2,johnson,0.29576939049999995,0.006801011249999989,6
digits_n1250,1250,5,3,dijkstra,0.2708632165,0.006614065499999933,6
digits_n1250,1250,5,3,floyd_warshall,1.557966875,0.01102611149999988,6
digits_n1250,1250,5,3,johnson,0.2982709685,0.004765997749999973,6
digits_n1250,1250,5,4,dijkstra,0.26703827550000003,0.008207333499999914,6
digits_n1250,1250,5,4,floyd_warshall,1.435627569,0.012447116999999785,6
digits_n1250,1250,5,4,johnson,0.3027270735,0.0031786477499999855,6
digits_n1250,1250,10,0,dijkstra,0.3593116835,0.01280209050000003,6
digits_n1250,1250,10,0,floyd_warshall,2.071636788,0.02457300699999987,6
digits_n1250,1250,10,0,johnson,0.421611286,0.002338065499999986,6
digits_n1250,1250,10,1,dijkstra,0.36345477800000003,0.01689325524999996,6
digits_n1250,1250,10,1,floyd_warshall,2.0864129155,0.04664737700000021,6
digits_n1250,1250,10,1,johnson,0.4187523595,0.0068052335000000075,6
digits_n1250,1250,10,2,dijkstra,0.364441072,0.004612510999999986,6
digits_n1250,1250,10,2,floyd_warshall,2.055902681,0.03490004349999998,6
digits_n1250,1250,10,2,johnson,0.42277475200000003,0.01490847424999997,6
digits_n1250,1250,10,3,dijkstra,0.3652627355,0.005472825999999986,6
