dataset,k,seed_id,algorithm,method,repeat,batch_iterations,wall_time_s,cpu_time_s,cpu_wall_ratio,affinity_cpu,nodes,edges
digits_n400,5,4,floyd_warshall,FW,1,1,0.047443924,0.047447887,1.0000835301902937,0,400,1410
digits_n400,5,4,johnson,J,1,1,0.028641722,0.028645484,1.000131346851282,0,400,1410
digits_n400,5,4,dijkstra,D,1,1,0.025301806,0.025304182,1.0000939063401246,0,400,1410
digits_n400,5,4,johnson,J,2,1,0.03100499,0.031007898,1.0000937913542305,0,400,1410
digits_n400,5,4,dijkstra,D,2,1,0.031824815,0.031829485,1.0001467408372995,0,400,1410
digits_n400,5,4,floyd_warshall,FW,2,1,0.050843621,0.050836287,0.9998557537827607,0,400,1410
digits_n400,5,4,dijkstra,D,3,1,0.026698969,0.02670119,1.000083186732791,0,400,1410
digits_n400,5,4,johnson,J,3,1,0.029335043,0.029337678,1.0000898243101262,0,400,1410
digits_n400,5,4,floyd_warshall,FW,3,1,0.047446078,0.047446732,1.0000137840687273,0,400,1410
digits_n400,5,4,johnson,J,4,1,0.030048623,0.030051746,1.0001039315512061,0,400,1410
digits_n400,5,4,dijkstra,D,4,1,0.027063587,0.027066059,1.0000913404420486,0,400,1410
digits_n400,5,4,floyd_warshall,FW,4,1,0.051328352,0.051264718,0.9987602563199379,0,400,1410
digits_n400,5,4,floyd_warshall,FW,5,1,0.048493766,0.048495603,1.0000378811577553,0,400,1410
digits_n400,5,4,dijkstra,D,5,1,0.026735836,0.026739399,1.0001332668258438,0,400,1410
digits_n400,5,4,johnson,J,5,1,0.030275058,0.030278502,1.000113757007501,0,400,1410
digits_n400,5,4,dijkstra,D,6,1,0.025759356,0.025762567,1.0001246537374615,0,400,1410
digits_n400,5,4,floyd_warshall,FW,6,1,0.048219411,0.048220255,1.0000175033245429,0,400,1410
digits_n400,5,4,johnson,J,6,1,0.028874406,0.028878024,1.000125301278925,0,400,1410
