dataset,k,seed_id,algorithm,method,repeat,batch_iterations,wall_time_s,cpu_time_s,cpu_wall_ratio,affinity_cpu,nodes,edges
digits,10,0,johnson,J,23,1,0.942035087,0.941899833,0.9998564236068629,0,1797,12618
digits,10,0,johnson,J,24,1,0.880888199,0.880770159,0.999865998885972,0,1797,12618
digits,10,0,floyd_warshall,FW,24,1,6.047451492,6.046391146,0.9998246623389369,0,1797,12618
digits,10,0,dijkstra,D,24,1,0.782686809,0.782555984,0.9998328514055742,0,1797,12618
digits,10,0,johnson,J,25,1,0.989547545,0.989414208,0.9998652545795564,0,1797,12618
digits,10,0,floyd_warshall,FW,25,1,6.201040016,6.200044604,0.9998394766043387,0,1797,12618
digits,10,0,dijkstra,D,25,1,0.779940377,0.779810367,0.9998333077709093,0,1797,12618
digits,10,0,floyd_warshall,FW,26,1,6.86870336,6.867580161,0.9998364758323179,0,1797,12618
digits,10,0,dijkstra,D,26,1,0.792956531,0.792877331,0.9999001206284283,0,1797,12618
digits,10,0,johnson,J,26,1,0.988455016,0.988291281,0.9998343526034573,0,1797,12618
digits,10,0,dijkstra,D,27,1,0.763438839,0.763339176,0.9998694551614239,0,1797,12618
digits,10,0,floyd_warshall,FW,27,1,6.633115537,6.63195198,0.9998245836374311,0,1797,12618
digits,10,0,johnson,J,27,1,0.892912375,0.8927331,0.9997992244199774,0,1797,12618
digits,10,0,dijkstra,D,28,1,0.723407236,0.723328678,0.9998914055650945,0,1797,12618
digits,10,0,floyd_warshall,FW,28,1,6.059706193,6.058633226,0.99982293415459,0,1797,12618
digits,10,0,johnson,J,28,1,0.957023369,0.956902314,0.9998735088359165,0,1797,12618
digits,10,0,floyd_warshall,FW,29,1,6.125279936,6.124242295,0.9998305969668584,0,1797,12618
digits,10,0,johnson,J,29,1,0.935608691,0.935516296,0.9999012461075995,0,1797,12618
digits,10,0,dijkstra,D,29,1,0.755467848,0.755363831,0.9998623144581529,0,1797,12618
digits,10,0,dijkstra,D,30,1,0.726854658,0.726713655,0.9998060093604022,0,1797,12618
digits,10,0,johnson,J,30,1,0.872674623,0.872541174,0.9998470804621988,0,1797,12618
digits,10,0,floyd_warshall,FW,30,1,6.037391088,6.036352977,0.9998280530472735,0,1797,12618
