nodes,k,algorithm,n_graph_seeds,total_timing_runs,median_of_seed_medians_s,ci95_low_s,ci95_high_s,min_seed_median_s,max_seed_median_s
100,5,dijkstra,5,30,0.0017638791896551,0.0017184952199999501,0.00178406183999995,0.0017184952199999501,0.00178406183999995
100,5,floyd_warshall,5,30,0.00125401454999995,0.00119767806756755,0.0013555410441176,0.00119767806756755,0.0013555410441176
100,5,johnson,5,30,0.0020749902391304,0.001966787347826,0.0021012401956521497,0.001966787347826,0.0021012401956521497
100,10,dijkstra,5,30,0.0023994011944443996,0.002229856025,0.00251591399999995,0.002229856025,0.00251591399999995
100,10,floyd_warshall,5,30,0.00169255134482755,0.0015644742121212,0.00171535234482755,0.0015644742121212,0.00171535234482755
100,10,johnson,5,30,0.0031219043823529,0.0029052245625000002,0.00316488992857135,0.0029052245625000002,0.00316488992857135
100,20,dijkstra,5,30,0.00339511199999995,0.00329130606666665,0.0034257486923076497,0.00329130606666665,0.0034257486923076497
100,20,floyd_warshall,5,30,0.0018561341034481998,0.00173974142857135,0.0019134517222222,0.00173974142857135,0.0019134517222222
100,20,johnson,5,30,0.00447461004166665,0.00438485238461535,0.0045105803636363,0.00438485238461535,0.0045105803636363
150,5,dijkstra,5,30,0.00368334780769225,0.0034700208928571,0.0038364613928571004,0.0034700208928571,0.0038364613928571004
150,5,floyd_warshall,5,30,0.003401887375,0.00338551707142855,0.0035939737333332998,0.00338551707142855,0.0035939737333332998
150,5,johnson,5,30,0.004323992333333301,0.0041873864166666,0.004485438545454501,0.0041873864166666,0.004485438545454501
150,10,dijkstra,5,30,0.00501507055,0.0048990756363636,0.00516070285,0.0048990756363636,0.00516070285
150,10,floyd_warshall,5,30,0.00487932985,0.004795394454545399,0.005011945125,0.004795394454545399,0.005011945125
150,10,johnson,5,30,0.0063857533125,0.0063200536875000005,0.006650359687499999,0.0063200536875000005,0.006650359687499999
150,20,dijkstra,5,30,0.0076026023571428,0.0074405652857142505,0.00777699199999995,0.0074405652857142505,0.00777699199999995
150,20,floyd_warshall,5,30,0.0058664673125,0.0057220507857142,0.0058738119999999505,0.0057220507857142,0.0058738119999999505
150,20,johnson,5,30,0.0103993165,0.010279300000000002,0.010662491,0.010279300000000002,0.010662491
200,5,dijkstra,5,30,0.006596267562500001,0.00634064025,0.0067153909166666505,0.00634064025,0.0067153909166666505
200,5,floyd_warshall,5,30,0.007682939999999999,0.0071432187142856495,0.008042388357142851,0.0071432187142856495,0.008042388357142851
200,5,johnson,5,30,0.00811696875,0.0074635167142857,0.008270814500000001,0.0074635167142857,0.008270814500000001
200,10,dijkstra,5,30,0.0087630539166666,0.0087355135833333,0.009362305500000001,0.0087355135833333,0.009362305500000001
200,10,floyd_warshall,5,30,0.010388602,0.00981376566666665,0.0109212875,0.00981376566666665,0.0109212875
200,10,johnson,5,30,0.011666885500000002,0.011292752999999999,0.012057782999999999,0.011292752999999999,0.012057782999999999
200,20,dijkstra,5,30,0.0131674945,0.012960762,0.0134218745,0.012960762,0.0134218745
200,20,floyd_warshall,5,30,0.0128117495,0.01200155,0.0130767765,0.01200155,0.0130767765
200,20,johnson,5,30,0.017530928,0.016112702,0.0176572755,0.016112702,0.0176572755
250,5,dijkstra,5,30,0.010755774,0.010140068,0.014176849500000002,0.010140068,0.014176849500000002
250,5,floyd_warshall,5,30,0.014147973000000001,0.0135085055,0.016959765,0.0135085055,0.016959765
250,5,johnson,5,30,0.012949946,0.0126088575,0.0176304745,0.0126088575,0.0176304745
250,10,dijkstra,5,30,0.014081133499999999,0.014056613499999999,0.0144161755,0.014056613499999999,0.0144161755
250,10,floyd_warshall,5,30,0.0203239155,0.019524346999999997,0.021610973,0.019524346999999997,0.021610973
250,10,johnson,5,30,0.017904696499999997,0.0178235025,0.0182916735,0.0178235025,0.0182916735
250,20,dijkstra,5,30,0.020812566499999997,0.020350852000000003,0.0211024405,0.020350852000000003,0.0211024405
250,20,floyd_warshall,5,30,0.023315173,0.021828246500000002,0.0245438455,0.021828246500000002,0.0245438455
250,20,johnson,5,30,0.0273179785,0.024859412,0.0276537705,0.024859412,0.0276537705
300,5,dijkstra,5,30,0.015153271,0.014303836,0.015530299000000001,0.014303836,0.015530299000000001
300,5,floyd_warshall,5,30,0.0233100885,0.0219812605,0.025991965,0.0219812605,0.025991965
300,5,johnson,5,30,0.018520802500000003,0.017559415000000002,0.018866321,0.017559415000000002,0.018866321
300,10,dijkstra,5,30,0.0204282685,0.0197008615,0.0209364355,0.0197008615,0.0209364355
300,10,floyd_warshall,5,30,0.030164025499999997,0.029748795,0.033808526,0.029748795,0.033808526
300,10,johnson,5,30,0.02514847,0.0232481605,0.026199667500000003,0.0232481605,0.026199667500000003
300,20,dijkstra,5,30,0.029751908,0.028910035,0.031125243,0.028910035,0.031125243
300,20,floyd_warshall,5,30,0.0394862525,0.038706585,0.041756773999999997,0.038706585,0.041756773999999997
300,20,johnson,5,30,0.039704959,0.038419033500000005,0.0405260555,0.038419033500000005,0.0405260555
400,5,dijkstra,5,30,0.026576004,0.0261872955,0.0267174025,0.0261872955,0.0267174025
400,5,floyd_warshall,5,30,0.0555241515,0.0483565885,0.057306052499999996,0.0483565885,0.057306052499999996
400,5,johnson,5,30,0.031594183,0.029691833,0.03297749899999999,0.029691833,0.03297749899999999
400,10,dijkstra,5,30,0.0363531205,0.0355916535,0.0374233295,0.0355916535,0.0374233295
400,10,floyd_warshall,5,30,0.080701996,0.0756347055,0.083328416,0.0756347055,0.083328416
400,10,johnson,5,30,0.046960584,0.045489202,0.0475307165,0.045489202,0.0475307165
400,20,dijkstra,5,30,0.0524922535,0.051270421999999996,0.052944883,0.051270421999999996,0.052944883
400,20,floyd_warshall,5,30,0.09004614699999999,0.0882949295,0.0923647165,0.0882949295,0.0923647165
400,20,johnson,5,30,0.069361521,0.068117576,0.070576366,0.068117576,0.070576366
500,5,dijkstra,5,30,0.041625950999999994,0.040771194999999996,0.04285805,0.040771194999999996,0.04285805
500,5,floyd_warshall,5,30,0.11054915000000001,0.107372226,0.11465412050000001,0.107372226,0.11465412050000001
500,5,johnson,5,30,0.050433224,0.048837163,0.051233195499999995,0.048837163,0.051233195499999995
500,10,dijkstra,5,30,0.056183643,0.0549288515,0.057094952500000004,0.0549288515,0.057094952500000004
500,10,floyd_warshall,5,30,0.141448953,0.1356612895,0.143464063,0.1356612895,0.143464063
500,10,johnson,5,30,0.07109882149999999,0.070348822,0.07261817549999999,0.070348822,0.07261817549999999
500,20,dijkstra,5,30,0.081618416,0.080777812,0.0848760305,0.080777812,0.0848760305
500,20,floyd_warshall,5,30,0.17136399200000002,0.1694560105,0.184174226,0.1694560105,0.184174226
500,20,johnson,5,30,0.107180977,0.1056683385,0.1103952825,0.1056683385,0.1103952825
750,5,dijkstra,5,30,0.093083729,0.090812999,0.0980664675,0.090812999,0.0980664675
750,5,floyd_warshall,5,30,0.33924658100000005,0.323143592,0.350688048,0.323143592,0.350688048
750,5,johnson,5,30,0.11089157799999999,0.105737312,0.1187119375,0.105737312,0.1187119375
750,10,dijkstra,5,30,0.1290140865,0.127585052,0.12922448,0.127585052,0.12922448
750,10,floyd_warshall,5,30,0.453230605,0.4478337445,0.47761288150000003,0.4478337445,0.47761288150000003
750,10,johnson,5,30,0.1612573075,0.149750514,0.17065253149999998,0.149750514,0.17065253149999998
750,20,dijkstra,5,30,0.18807017799999998,0.18312767349999998,0.1920506725,0.18312767349999998,0.1920506725
750,20,floyd_warshall,5,30,0.525577876,0.516772877,0.5645355704999999,0.516772877,0.5645355704999999
750,20,johnson,5,30,0.235276856,0.2260230755,0.245111219,0.2260230755,0.245111219
1000,5,dijkstra,5,30,0.16835258349999999,0.16704288750000001,0.1699354545,0.16704288750000001,0.1699354545
1000,5,floyd_warshall,5,30,0.7709537609999999,0.754275823,0.787467913,0.754275823,0.787467913
1000,5,johnson,5,30,0.188539869,0.18608043800000001,0.209811692,0.18608043800000001,0.209811692
1000,10,dijkstra,5,30,0.2313770645,0.223429105,0.23547547,0.223429105,0.23547547
1000,10,floyd_warshall,5,30,1.0373669335,1.016731781,1.1292562465,1.016731781,1.1292562465
1000,10,johnson,5,30,0.274397612,0.2632166465,0.2949096175,0.2632166465,0.2949096175
1000,20,dijkstra,5,30,0.3302046525,0.3266756595,0.339281183,0.3266756595,0.339281183
1000,20,floyd_warshall,5,30,1.21084571,1.18885891,1.235649672,1.18885891,1.235649672
1000,20,johnson,5,30,0.4054204885,0.403914765,0.407454457,0.403914765,0.407454457
1250,5,dijkstra,5,30,0.26703827550000003,0.261739901,0.2708632165,0.261739901,0.2708632165
1250,5,floyd_warshall,5,30,1.4788939,1.410219715,1.7300070375,1.410219715,1.7300070375
1250,5,johnson,5,30,0.2982709685,0.29576939049999995,0.3274123545,0.29576939049999995,0.3274123545
1250,10,dijkstra,5,30,0.36345477800000003,0.3542895345,0.3652627355,0.3542895345,0.3652627355
1250,10,floyd_warshall,5,30,2.055902681,2.014946459,2.0864129155,2.014946459,2.0864129155
1250,10,johnson,5,30,0.421611286,0.415674573,0.4229111465,0.415674573,0.4229111465
1250,20,dijkstra,5,30,0.5278017445000001,0.512994795,0.5376654325,0.512994795,0.5376654325
1250,20,floyd_warshall,5,30,2.3681439629999996,2.3390569975,2.3816634504999996,2.3390569975,2.3816634504999996
1250,20,johnson,5,30,0.6487677705,0.6431152124999999,0.6694539885,0.6431152124999999,0.6694539885
1500,5,dijkstra,5,30,0.385909546,0.384212134,0.390978551,0.384212134,0.390978551
1500,5,floyd_warshall,5,30,2.4808131280000003,2.3358765875,2.7337695295,2.3358765875,2.7337695295
1500,5,johnson,5,30,0.4372206825,0.4345054785,0.4734242285,0.4345054785,0.4734242285
1500,10,dijkstra,5,30,0.5260592095000001,0.516405131,0.5330096715,0.516405131,0.5330096715
1500,10,floyd_warshall,5,30,3.507226885,3.3668769335000004,3.669761457,3.3668769335000004,3.669761457
1500,10,johnson,5,30,0.613494428,0.606890827,0.621445137,0.606890827,0.621445137
1500,20,dijkstra,5,30,0.7648409195,0.757783769,0.7933131250000001,0.757783769,0.7933131250000001
1500,20,floyd_warshall,5,30,4.073560776,3.9387502645000003,4.225483456,3.9387502645000003,4.225483456
1500,20,johnson,5,30,0.947303539,0.9410722325,0.953714899,0.9410722325,0.953714899
1797,5,dijkstra,1,30,0.558480313,0.5512007165,0.5666493725,0.558480313,0.558480313
1797,5,floyd_warshall,1,30,4.945970437,4.9206525315,4.9951106375,4.945970437,4.945970437
1797,5,johnson,1,30,0.635515227,0.626809356,0.6438185095,0.635515227,0.635515227
1797,10,dijkstra,1,30,0.769598043,0.7471399055,0.777974534,0.769598043,0.769598043
1797,10,floyd_warshall,1,30,6.0646605430000005,6.0411925205,6.1075206435,6.0646605430000005,6.0646605430000005
1797,10,johnson,1,30,0.9095373285,0.8889695740000001,0.9532707095,0.9095373285,0.9095373285
1797,20,dijkstra,1,30,1.1586934974999998,1.1351257685,1.1879890485,1.1586934974999998,1.1586934974999998
1797,20,floyd_warshall,1,30,7.065458592000001,6.9930368675,7.1161846525,7.065458592000001,7.065458592000001
1797,20,johnson,1,30,1.4760859545,1.4252192885000001,1.5091826965,1.4760859545,1.4760859545
