dataset,k,algorithm,method,repeat,nodes,edges,baseline_rss_mib,baseline_maxrss_mib,peak_maxrss_mib,incremental_peak_rss_mib,end_rss_mib,output_matrix_mib,temporary_over_output_mib,affinity_cpu
breast_cancer,10,dijkstra,D,1,569,4277,37.68359375,37.59765625,42.97265625,5.2890625,43.10546875,2.4701004028320312,2.8189620971679688,0
breast_cancer,10,dijkstra,D,2,569,4277,37.68359375,37.6015625,42.9765625,5.29296875,43.10546875,2.4701004028320312,2.8228683471679688,0
breast_cancer,10,dijkstra,D,3,569,4277,37.68359375,37.6015625,42.9765625,5.29296875,43.10546875,2.4701004028320312,2.8228683471679688,0
breast_cancer,10,dijkstra,D,4,569,4277,37.6875,37.6015625,42.9765625,5.2890625,43.10546875,2.4701004028320312,2.8189620971679688,0
breast_cancer,10,dijkstra,D,5,569,4277,37.69140625,37.6015625,42.9765625,5.28515625,43.109375,2.4701004028320312,2.8150558471679688,0
breast_cancer,10,dijkstra,D,6,569,4277,37.69140625,37.60546875,42.98046875,5.2890625,43.109375,2.4701004028320312,2.8189620971679688,0
breast_cancer,10,dijkstra,D,7,569,4277,37.69140625,37.60546875,42.98046875,5.2890625,43.109375,2.4701004028320312,2.8189620971679688,0
breast_cancer,10,dijkstra,D,8,569,4277,37.69140625,37.60546875,42.98046875,5.2890625,43.109375,2.4701004028320312,2.8189620971679688,0
breast_cancer,10,dijkstra,D,9,569,4277,37.69140625,37.60546875,42.98046875,5.2890625,43.109375,2.4701004028320312,2.8189620971679688,0
breast_cancer,10,dijkstra,D,10,569,4277,37.69140625,37.60546875,42.98046875,5.2890625,43.109375,2.4701004028320312,2.8189620971679688,0
breast_cancer,10,dijkstra,D,11,569,4277,37.69140625,37.60546875,42.98046875,5.2890625,43.109375,2.4701004028320312,2.8189620971679688,0
breast_cancer,10,dijkstra,D,12,569,4277,37.69140625,37.60546875,42.98046875,5.2890625,43.109375,2.4701004028320312,2.8189620971679688,0
breast_cancer,10,dijkstra,D,13,569,4277,37.69140625,37.60546875,43.10546875,5.4140625,43.1171875,2.4701004028320312,2.9439620971679688,0
breast_cancer,10,dijkstra,D,14,569,4277,37.69140625,37.60546875,43.10546875,5.4140625,43.12109375,2.4701004028320312,2.9439620971679688,0
breast_cancer,10,dijkstra,D,15,569,4277,37.703125,37.60546875,43.10546875,5.40234375,43.125,2.4701004028320312,2.9322433471679688,0
breast_cancer,10,dijkstra,D,16,569,4277,37.703125,37.61328125,43.11328125,5.41015625,43.125,2.4701004028320312,2.9400558471679688,0
breast_cancer,10,dijkstra,D,17,569,4277,37.703125,37.6171875,42.9921875,5.2890625,43.125,2.4701004028320312,2.8189620971679688,0
breast_cancer,10,dijkstra,D,18,569,4277,37.703125,37.6171875,42.9921875,5.2890625,43.125,2.4701004028320312,2.8189620971679688,0
breast_cancer,10,dijkstra,D,19,569,4277,37.703125,37.6171875,42.9921875,5.2890625,43.125,2.4701004028320312,2.8189620971679688,0
breast_cancer,10,dijkstra,D,20,569,4277,37.703125,37.6171875,42.9921875,5.2890625,43.125,2.4701004028320312,2.8189620971679688,0
breast_cancer,10,dijkstra,D,21,569,4277,37.703125,37.6171875,42.9921875,5.2890625,43.125,2.4701004028320312,2.8189620971679688,0
breast_cancer,10,dijkstra,D,22,569,4277,37.703125,37.6171875,43.1171875,5.4140625,43.12890625,2.4701004028320312,2.9439620971679688,0
breast_cancer,10,dijkstra,D,23,569,4277,37.703125,37.6171875,43.1171875,5.4140625,43.12890625,2.4701004028320312,2.9439620971679688,0
breast_cancer,10,dijkstra,D,24,569,4277,37.70703125,37.6171875,43.1171875,5.41015625,43.12890625,2.4701004028320312,2.9400558471679688,0
breast_cancer,10,dijkstra,D,25,569,4277,37.7109375,37.62109375,42.99609375,5.28515625,43.12890625,2.4701004028320312,2.8150558471679688,0
breast_cancer,10,dijkstra,D,26,569,4277,37.7109375,37.625,43.0,5.2890625,43.1328125,2.4701004028320312,2.8189620971679688,0
breast_cancer,10,dijkstra,D,27,569,4277,37.7109375,37.625,43.0,5.2890625,43.1328125,2.4701004028320312,2.8189620971679688,0
breast_cancer,10,dijkstra,D,28,569,4277,37.7109375,37.625,43.0,5.2890625,43.1328125,2.4701004028320312,2.8189620971679688,0
breast_cancer,10,dijkstra,D,29,569,4277,37.7109375,37.625,43.125,5.4140625,43.13671875,2.4701004028320312,2.9439620971679688,0
breast_cancer,10,dijkstra,D,30,569,4277,37.71484375,37.625,43.125,5.41015625,43.13671875,2.4701004028320312,2.9400558471679688,0
