dataset,k,seed_id,algorithm,method,repeat,batch_iterations,wall_time_s,cpu_time_s,cpu_wall_ratio,affinity_cpu,nodes,edges
digits_n500,10,0,johnson,J,1,1,0.06600511,0.066007599,1.0000377092016057,0,500,3498
digits_n500,10,0,dijkstra,D,1,1,0.056787723,0.056788857,1.0000199691049418,0,500,3498
digits_n500,10,0,floyd_warshall,FW,1,1,0.128819657,0.1287878,0.9997527007854089,0,500,3498
digits_n500,10,0,johnson,J,2,1,0.067427534,0.067386478,0.9993911092759228,0,500,3498
digits_n500,10,0,floyd_warshall,FW,2,1,0.132469044,0.132447729,0.9998390944830853,0,500,3498
digits_n500,10,0,dijkstra,D,2,1,0.055492893,0.05549388,1.000017786061361,0,500,3498
digits_n500,10,0,johnson,J,3,1,0.070043404,0.070042602,0.9999885499568238,0,500,3498
digits_n500,10,0,dijkstra,D,3,1,0.056015958,0.05601583,0.9999977149368757,0,500,3498
digits_n500,10,0,floyd_warshall,FW,3,1,0.14697388,0.146966818,0.9999519506459242,0,500,3498
digits_n500,10,0,johnson,J,4,1,0.072948873,0.072948784,0.9999987799674438,0,500,3498
digits_n500,10,0,dijkstra,D,4,1,0.05722123,0.057222686,1.0000254451014075,0,500,3498
digits_n500,10,0,floyd_warshall,FW,4,1,0.133879411,0.133863445,0.999880743425141,0,500,3498
digits_n500,10,0,dijkstra,D,5,1,0.056681998,0.056668337,0.9997589887357182,0,500,3498
digits_n500,10,0,johnson,J,5,1,0.072154239,0.072144334,0.9998627246280015,0,500,3498
digits_n500,10,0,floyd_warshall,FW,5,1,0.1459726,0.145957476,0.9998963915145719,0,500,3498
digits_n500,10,0,floyd_warshall,FW,6,1,0.137443168,0.137437311,0.9999573860229998,0,500,3498
digits_n500,10,0,johnson,J,6,1,0.074157446,0.074158734,1.0000173684514433,0,500,3498
digits_n500,10,0,dijkstra,D,6,1,0.057369728,0.057371831,1.000036656963059,0,500,3498
