dataset,k,seed_id,algorithm,method,repeat,batch_iterations,wall_time_s,cpu_time_s,cpu_wall_ratio,affinity_cpu,nodes,edges
digits_n150,5,4,floyd_warshall,FW,1,14,0.0035753722142857144,0.003575471714285714,1.000027829270363,0,150,521
digits_n150,5,4,johnson,J,1,12,0.004534711416666667,0.004534794833333334,1.0000183951433734,0,150,521
digits_n150,5,4,dijkstra,D,1,14,0.0036122088571428576,0.003610860857142857,0.9996268211354017,0,150,521
digits_n150,5,4,dijkstra,D,2,14,0.003540502785714286,0.003539764857142857,0.9997915752038365,0,150,521
digits_n150,5,4,johnson,J,2,12,0.0040410904999999995,0.004040446916666667,0.9998407401830439,0,150,521
digits_n150,5,4,floyd_warshall,FW,2,14,0.0034452902857142857,0.0034453558571428573,1.0000190321926845,0,150,521
digits_n150,5,4,johnson,J,3,12,0.004169434083333334,0.004169382916666666,0.9999877281507167,0,150,521
digits_n150,5,4,floyd_warshall,FW,3,14,0.0033618019285714287,0.0033618259285714282,1.0000071390285654,0,150,521
digits_n150,5,4,dijkstra,D,3,14,0.003487688357142857,0.003487657928571429,0.9999912754328047,0,150,521
digits_n150,5,4,johnson,J,4,12,0.004326879166666666,0.004326872916666667,0.9999985555408971,0,150,521
digits_n150,5,4,dijkstra,D,4,14,0.0033707055,0.003370705928571429,1.0000001271459131,0,150,521
digits_n150,5,4,floyd_warshall,FW,4,14,0.003271717285714286,0.0032717360714285713,1.0000057418513413,0,150,521
digits_n150,5,4,dijkstra,D,5,14,0.003452353428571429,0.0034519070714285715,0.9998707093140687,0,150,521
digits_n150,5,4,floyd_warshall,FW,5,14,0.0034314239999999998,0.0034314854285714285,1.000017901772392,0,150,521
digits_n150,5,4,johnson,J,5,12,0.004341908,0.004341183333333333,0.9998330994883662,0,150,521
digits_n150,5,4,johnson,J,6,12,0.0043211055,0.004321199916666667,1.0000218501183704,0,150,521
digits_n150,5,4,dijkstra,D,6,14,0.0034182795714285713,0.003418310142857143,1.0000089435132302,0,150,521
digits_n150,5,4,floyd_warshall,FW,6,14,0.003345513642857143,0.003344544857142857,0.9997104224290478,0,150,521
