dataset,k,seed_id,algorithm,method,repeat,batch_iterations,wall_time_s,cpu_time_s,cpu_wall_ratio,affinity_cpu,nodes,edges
digits_n250,20,0,floyd_warshall,FW,1,1,0.025553607,0.025557773,1.000163029821974,0,250,3355
digits_n250,20,0,johnson,J,1,1,0.025396386,0.025400112,1.000146713788332,0,250,3355
digits_n250,20,0,dijkstra,D,1,1,0.020164062,0.02016681,1.000136282064596,0,250,3355
digits_n250,20,0,floyd_warshall,FW,2,1,0.024663082,0.024665957,1.0001165709946551,0,250,3355
digits_n250,20,0,dijkstra,D,2,1,0.02025267,0.020255594,1.000144376025482,0,250,3355
digits_n250,20,0,johnson,J,2,1,0.027757971,0.027759995,1.0000729159923107,0,250,3355
digits_n250,20,0,dijkstra,D,3,1,0.020928679,0.020931562,1.000137753558168,0,250,3355
digits_n250,20,0,johnson,J,3,1,0.027537979,0.027539917,1.0000703755348204,0,250,3355
digits_n250,20,0,floyd_warshall,FW,3,1,0.025189842,0.025192914,1.0001219539209496,0,250,3355
digits_n250,20,0,johnson,J,4,1,0.028190142,0.028192815,1.0000948203808266,0,250,3355
digits_n250,20,0,floyd_warshall,FW,4,1,0.024424609,0.024426707,1.0000858969738267,0,250,3355
digits_n250,20,0,dijkstra,D,4,1,0.021001282,0.021003839,1.0001217544719414,0,250,3355
digits_n250,20,0,floyd_warshall,FW,5,1,0.02383905,0.023841528,1.0001039470952073,0,250,3355
digits_n250,20,0,dijkstra,D,5,1,0.020974955,0.020976927,1.0000940168882364,0,250,3355
digits_n250,20,0,johnson,J,5,1,0.026849675,0.026851804,1.0000792933247795,0,250,3355
digits_n250,20,0,floyd_warshall,FW,6,1,0.023874534,0.023877754,1.000134871742418,0,250,3355
digits_n250,20,0,dijkstra,D,6,1,0.020696454,0.020691349,0.999753339388477,0,250,3355
digits_n250,20,0,johnson,J,6,1,0.027097978,0.027100515,1.000093623221629,0,250,3355
