dataset,k,seed_id,algorithm,method,repeat,batch_iterations,wall_time_s,cpu_time_s,cpu_wall_ratio,affinity_cpu,nodes,edges
digits_n200,5,4,dijkstra,D,1,8,0.006379568375,0.006379603,1.000005427483172,0,200,692
digits_n200,5,4,johnson,J,1,7,0.006998665,0.006998807285714286,1.0000203304079114,0,200,692
digits_n200,5,4,floyd_warshall,FW,1,7,0.006989933428571428,0.006989954571428572,1.0000030247580123,0,200,692
digits_n200,5,4,dijkstra,D,2,8,0.006458680375,0.0064587345,1.0000083801948474,0,200,692
digits_n200,5,4,floyd_warshall,FW,2,7,0.007260087285714286,0.007260170571428572,1.0000114717235493,0,200,692
digits_n200,5,4,johnson,J,2,7,0.007418577714285715,0.007417427,0.9998448874797794,0,200,692
digits_n200,5,4,johnson,J,3,7,0.007508455714285714,0.007508471714285715,1.000002130930861,0,200,692
digits_n200,5,4,dijkstra,D,3,8,0.0061768665,0.006176848,0.9999970049538872,0,200,692
digits_n200,5,4,floyd_warshall,FW,3,7,0.007290963285714286,0.007291025428571429,1.0000085232711657,0,200,692
digits_n200,5,4,floyd_warshall,FW,4,7,0.007402052,0.007402078857142857,1.0000036283375011,0,200,692
digits_n200,5,4,johnson,J,4,7,0.007678680857142857,0.007675605571428571,0.9995995033819611,0,200,692
digits_n200,5,4,dijkstra,D,4,8,0.006301712125,0.006301687375,0.999996072495933,0,200,692
digits_n200,5,4,floyd_warshall,FW,5,7,0.0070263501428571426,0.007026402142857143,1.0000074007128799,0,200,692
digits_n200,5,4,dijkstra,D,5,8,0.0065130855,0.006512028,0.9998376345589198,0,200,692
digits_n200,5,4,johnson,J,5,7,0.007579796,0.007581589571428572,1.0002366252902548,0,200,692
digits_n200,5,4,johnson,J,6,7,0.006877925142857143,0.006880786571428571,1.0004160307813759,0,200,692
digits_n200,5,4,floyd_warshall,FW,6,7,0.007014528428571428,0.007014632285714285,1.0000148060049816,0,200,692
digits_n200,5,4,dijkstra,D,6,8,0.00623967125,0.006239591375,0.9999871988448109,0,200,692
