dataset,k,seed_id,algorithm,method,repeat,batch_iterations,wall_time_s,cpu_time_s,cpu_wall_ratio,affinity_cpu,nodes,edges
digits_n1250,5,4,johnson,J,1,1,0.302024481,0.301930224,0.9996879160269131,0,1250,4482
digits_n1250,5,4,dijkstra,D,1,1,0.258711349,0.258686914,0.9999055511090084,0,1250,4482
digits_n1250,5,4,floyd_warshall,FW,1,1,1.435581606,1.435339267,0.9998311910664033,0,1250,4482
digits_n1250,5,4,johnson,J,2,1,0.305454635,0.305371626,0.9997282444249046,0,1250,4482
digits_n1250,5,4,dijkstra,D,2,1,0.28918828,0.289168518,0.9999316638973058,0,1250,4482
digits_n1250,5,4,floyd_warshall,FW,2,1,1.444007068,1.443777574,0.9998410714150329,0,1250,4482
digits_n1250,5,4,floyd_warshall,FW,3,1,1.435673532,1.435458125,0.9998499610146745,0,1250,4482
digits_n1250,5,4,johnson,J,3,1,0.297100159,0.29706337,0.999876173071991,0,1250,4482
digits_n1250,5,4,dijkstra,D,3,1,0.267079886,0.267051649,0.9998942750784311,0,1250,4482
digits_n1250,5,4,johnson,J,4,1,0.303770257,0.30368889,0.9997321429661891,0,1250,4482
digits_n1250,5,4,floyd_warshall,FW,4,1,1.424983797,1.424775615,0.999853905707252,0,1250,4482
digits_n1250,5,4,dijkstra,D,4,1,0.262321538,0.262283824,0.9998562298761757,0,1250,4482
digits_n1250,5,4,dijkstra,D,5,1,0.266996665,0.266914132,0.9996908837793911,0,1250,4482
digits_n1250,5,4,floyd_warshall,FW,5,1,1.427441554,1.426487387,0.9993315544182344,0,1250,4482
digits_n1250,5,4,johnson,J,5,1,0.303429666,0.303378188,0.9998303461863878,0,1250,4482
digits_n1250,5,4,johnson,J,6,1,0.300000455,0.299875145,0.9995823006335107,0,1250,4482
digits_n1250,5,4,dijkstra,D,6,1,0.273236909,0.273189017,0.9998247235332325,0,1250,4482
digits_n1250,5,4,floyd_warshall,FW,6,1,1.462105099,1.461906533,0.9998641917054145,0,1250,4482
