dataset,k,seed_id,algorithm,method,repeat,batch_iterations,wall_time_s,cpu_time_s,cpu_wall_ratio,affinity_cpu,nodes,edges
digits_n250,20,3,dijkstra,D,1,1,0.021252918,0.021256679,1.000176963935023,0,250,3340
digits_n250,20,3,floyd_warshall,FW,1,1,0.023191767,0.02313377,0.9974992418645807,0,250,3340
digits_n250,20,3,johnson,J,1,1,0.027387448,0.027389486,1.0000744136511004,0,250,3340
digits_n250,20,3,dijkstra,D,2,1,0.020992341,0.020995716,1.0001607729218958,0,250,3340
digits_n250,20,3,floyd_warshall,FW,2,1,0.023438579,0.023441558,1.0001270981487402,0,250,3340
digits_n250,20,3,johnson,J,2,1,0.027447826,0.027441008,0.9997516014565233,0,250,3340
digits_n250,20,3,floyd_warshall,FW,3,1,0.024593023,0.024595957,1.0001193021289008,0,250,3340
digits_n250,20,3,dijkstra,D,3,1,0.021133959,0.021128985,0.9997646441918431,0,250,3340
digits_n250,20,3,johnson,J,3,1,0.027895692,0.027897311,1.0000580376353454,0,250,3340
digits_n250,20,3,johnson,J,4,1,0.028170731,0.028173385,1.0000942112577766,0,250,3340
digits_n250,20,3,dijkstra,D,4,1,0.02094464,0.020947868,1.0001541205769113,0,250,3340
digits_n250,20,3,floyd_warshall,FW,4,1,0.021396568,0.021399971,1.0001590441981163,0,250,3340
digits_n250,20,3,floyd_warshall,FW,5,1,0.022548513,0.022550885,1.000105195406899,0,250,3340
digits_n250,20,3,dijkstra,D,5,1,0.019445726,0.019448545,1.0001449675882506,0,250,3340
digits_n250,20,3,johnson,J,5,1,0.02715124,0.027153427,1.0000805488073474,0,250,3340
digits_n250,20,3,johnson,J,6,1,0.027222011,0.027223966,1.000071816883771,0,250,3340
digits_n250,20,3,floyd_warshall,FW,6,1,0.023447245,0.023449531,1.0000974954626867,0,250,3340
digits_n250,20,3,dijkstra,D,6,1,0.020082328,0.020084616,1.0001139310143725,0,250,3340
